Date,Open,High,Low,Close,Volume,NASDAQ
2020-12-23,23781.97461,24024.49023,22802.64648,23241.3457,51146161904.0,12771.11035
2020-12-24,23240.20313,23768.33789,22777.59766,23735.94922,41080759713.0,12804.73047
2020-12-25,23733.57031,24710.10156,23463.67383,24664.79102,42068395846.0,12804.73047
2020-12-26,24677.01563,26718.07031,24522.68945,26437.03711,48332647295.0,12804.73047
2020-12-27,26439.37305,28288.83984,25922.76953,26272.29492,66479895605.0,12804.73047
2020-12-28,26280.82227,27389.11133,26207.64063,27084.80859,49056742893.0,12899.41992
2020-12-29,27081.81055,27370.7207,25987.29883,27362.4375,45265946774.0,12850.21973
2020-12-30,27360.08984,28937.74023,27360.08984,28840.95313,51287442704.0,12870.0
2020-12-31,28841.57422,29244.87695,28201.99219,29001.7207,46754964848.0,12888.28027
2021-01-01,28994.00977,29600.62695,28803.58594,29374.15234,40730301359.0,12888.28027
2021-01-02,29376.45508,33155.11719,29091.18164,32127.26758,67865420765.0,12888.28027
2021-01-03,32129.4082,34608.55859,32052.31641,32782.02344,78665235202.0,12888.28027
2021-01-04,32810.94922,33440.21875,28722.75586,31971.91406,81163475344.0,12698.4502
2021-01-05,31977.04102,34437.58984,30221.1875,33992.42969,67547324782.0,12818.95996
2021-01-06,34013.61328,36879.69922,33514.03516,36824.36328,75289433811.0,12740.79004
2021-01-07,36833.875,40180.36719,36491.19141,39371.04297,84762141031.0,13067.48047
2021-01-08,39381.76563,41946.73828,36838.63672,40797.60938,88107519480.0,13201.98047
2021-01-09,40788.64063,41436.35156,38980.875,40254.54688,61984162837.0,13201.98047
2021-01-10,40254.21875,41420.19141,35984.62891,38356.44141,79980747690.0,13201.98047
2021-01-11,38346.53125,38346.53125,30549.59961,35566.65625,123000000000.0,13036.42969
2021-01-12,35516.35938,36568.52734,32697.97656,33922.96094,74773277909.0,13072.42969
2021-01-13,33915.12109,37599.96094,32584.66797,37316.35938,69364315979.0,13128.9502
2021-01-14,37325.10938,39966.40625,36868.5625,39187.32813,63615990033.0,13112.63965
2021-01-15,39156.70703,39577.71094,34659.58984,36825.36719,67760757881.0,12998.5
2021-01-16,36821.64844,37864.36719,35633.55469,36178.14063,57706187875.0,12998.5
2021-01-17,36163.64844,36722.35156,34069.32031,35791.27734,52359854336.0,12998.5
2021-01-18,35792.23828,37299.28516,34883.84375,36630.07422,49511702429.0,12998.5
2021-01-19,36642.23438,37755.89063,36069.80469,36069.80469,57244195486.0,13197.17969
2021-01-20,36050.11328,36378.32813,33570.47656,35547.75,66834573161.0,13457.25
2021-01-21,35549.39844,35552.67969,30250.75,30825.69922,75643067688.0,13530.91016
2021-01-22,30817.625,33811.85156,28953.37305,33005.76172,77207272511.0,13543.05957
2021-01-23,32985.75781,33360.97656,31493.16016,32067.64258,48354737975.0,13543.05957
2021-01-24,32064.37695,32944.00781,31106.68555,32289.37891,48643830599.0,13543.05957
2021-01-25,32285.79883,34802.74219,32087.78711,32366.39258,59897054838.0,13635.99023
2021-01-26,32358.61328,32794.55078,31030.26563,32569.84961,60255421470.0,13626.05957
2021-01-27,32564.0293,32564.0293,29367.13867,30432.54688,62576762015.0,13270.59961
2021-01-28,30441.04102,33858.3125,30023.20703,33466.09766,76517157706.0,13337.16016
2021-01-29,34318.67188,38406.26172,32064.81445,34316.38672,118000000000.0,13070.69043
2021-01-30,34295.93359,34834.70703,32940.1875,34269.52344,65141828798.0,13070.69043
2021-01-31,34270.87891,34288.33203,32270.17578,33114.35938,52754542671.0,13070.69043
2021-02-01,33114.57813,34638.21484,32384.22852,33537.17578,61400400660.0,13403.38965
2021-02-02,33533.19922,35896.88281,33489.21875,35510.28906,63088585433.0,13612.78027
2021-02-03,35510.82031,37480.1875,35443.98438,37472.08984,61166818159.0,13610.54004
2021-02-04,37475.10547,38592.17578,36317.5,36926.06641,68838074392.0,13777.74023
2021-02-05,36931.54688,38225.90625,36658.76172,38144.30859,58598066402.0,13856.2998
2021-02-06,38138.38672,40846.54688,38138.38672,39266.01172,71326033653.0,13856.2998
2021-02-07,39250.19141,39621.83594,37446.15234,38903.44141,65500641143.0,13856.2998
2021-02-08,38886.82813,46203.92969,38076.32422,46196.46484,101000000000.0,13987.63965
2021-02-09,46184.99219,48003.72266,45166.96094,46481.10547,91809846886.0,14007.7002
2021-02-10,46469.76172,47145.56641,43881.15234,44918.18359,87301089896.0,13972.53027
2021-02-11,44898.71094,48463.46875,44187.76172,47909.33203,81388911810.0,14025.76953
2021-02-12,47877.03516,48745.73438,46424.97656,47504.85156,76555041196.0,14095.46973
2021-02-13,47491.20313,48047.74609,46392.28125,47105.51563,70250456155.0,14095.46973
2021-02-14,47114.50781,49487.64063,47114.50781,48717.28906,71248675228.0,14095.46973
2021-02-15,48696.53516,48875.57031,46347.47656,47945.05859,77069903166.0,14095.46973
2021-02-16,47944.45703,50341.10156,47201.30469,49199.87109,77049582886.0,14047.5
2021-02-17,49207.27734,52533.91406,49072.37891,52149.00781,80820545404.0,13965.49023
2021-02-18,52140.97266,52474.10547,51015.76563,51679.79688,52054723579.0,13865.36035
2021-02-19,51675.98047,56113.65234,50937.27734,55888.13281,63495496918.0,13874.45996
2021-02-20,55887.33594,57505.22656,54626.55859,56099.51953,68145460026.0,13874.45996
2021-02-21,56068.56641,58330.57031,55672.60938,57539.94531,51897585191.0,13874.45996
